Role,Age,Birth Country,Zip,Lat,Long,Departure Time,Distance from Nueva in miles,Others in your zipcode,Name of zipcode,Scaled Zipcode
Nueva Teacher,77,United States,94018,37.51,-122.47,6:50:00 AM,7.419268404,1,El Granada,1.179617613
Parent or Guardian of Nueva student,43,China,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,52,United States,94402,37.54,-122.33,7:45:00 AM,3.451464214,7,San Mateo,4.693913357
Parent or Guardian of Nueva student,54,China,,,,7:40:00 AM,,,,
Parent or Guardian of Nueva student,49,China,94087,37.35,-122.04,,27.69152248,2,Sunnyvale,2.398224356
Nueva Teacher,36,Spain,94122,37.76,-122.48,7:00:00 AM,15.6234768,1,San Francisco,1.179617613
Parent or Guardian of Nueva student,52,United States,,,,7:30:00 AM,,,,
Parent or Guardian of Nueva student,51,China,94112,37.72,-122.44,7:15:00 AM,11.90352196,3,San Francisco,3.132193507
Parent or Guardian of Nueva student,44,China,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,46,Australia,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,37,United States,94019,37.45,-122.40,7:00:00 AM,7.858075413,1,Half Moon Bay,1.179617613
Parent or Guardian of Nueva student,50,Israel,94301,37.44,-122.15,7:00:00 AM,17.7667132,3,Palo Alto,3.132193507
Nueva alumni,,Australia,,,,,,,,
Nueva Teacher,39,United States,94080,37.66,-122.42,7:45:00 AM,7.165399376,1,South San Francisco,1.179617613
Parent or Guardian of Nueva student,47,China,94404,37.56,-122.27,7:35:00 AM,7.663486794,7,San Mateo,4.693913357
Nueva Teacher,25,United States,94404,37.56,-122.27,7:30:00 AM,7.663486794,7,San Mateo,4.693913357
Parent or Guardian of Nueva student,55,United States,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,57,Dominican Republic,94401,37.57,-122.32,7:30:00 AM,4.325481442,3,San Mateo,3.132193507
Nueva Teacher,36,China,94402,37.54,-122.33,7:30:00 AM,3.451464214,7,San Mateo,4.693913357
Parent or Guardian of Nueva student,43,Algeria,94403,37.54,-122.31,7:25:00 AM,5.384579628,11,San Mateo,5.53602895
Parent or Guardian of Nueva student,54,China,94107,37.76,-122.40,7:10:00 AM,14.16423504,2,San Francisco,2.398224356
Parent or Guardian of Nueva student,53,United States,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,49,China,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,51,China,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,67,United States,94403,37.54,-122.31,8:30:00 AM,5.384579628,11,San Mateo,5.53602895
Parent or Guardian of Nueva student,51,United States,94062,37.43,-122.30,7:50:00 AM,10.89828394,6,Redwood City,4.407826039
Parent or Guardian of Nueva student,55,China,94107,37.76,-122.40,,14.16423504,2,San Francisco,2.398224356
Parent or Guardian of Nueva student,57,United States,94062,37.43,-122.30,,10.89828394,6,Redwood City,4.407826039
Parent or Guardian of Nueva student,42,China,94010,37.57,-122.38,7:55:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,50,United States,94010,37.57,-122.38,7:45:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,,China,,,,,,,,
Parent or Guardian of Nueva student,53,Japan,94129,37.80,-122.47,7:05:00 AM,17.44786191,2,San Francisco,2.398224356
Parent or Guardian of Nueva student,45,United States,94010,37.57,-122.38,7:40:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,44,India,94040,37.38,-122.09,7:10:00 AM,23.83275538,2,Mountain View,2.398224356
Nueva Teacher,35,United States,94110,37.75,-122.42,7:30:00 AM,13.31361437,4,San Francisco,3.659087546
Parent or Guardian of Nueva student,51,Taiwan,,,,,,,,
Parent or Guardian of Nueva student,55,United States,94402,37.54,-122.33,7:50:00 AM,3.451464214,7,San Mateo,4.693913357
Parent or Guardian of Nueva student,47.5,India,,,,,,,,
Parent or Guardian of Nueva student,46,China,,,,7:40:00 AM,,,,
Parent or Guardian of Nueva student,44,China,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,46,United States,94025,37.45,-122.18,7:50:00 AM,15.53930813,4,Menlo Park,3.659087546
Nueva Teacher,,United States,94127,37.74,-122.46,7:10:00 AM,13.36607055,1,San Francisco,1.179617613
Nueva alumni,18,United States,94002,37.51,-122.30,,6.438996152,3,Belmont,3.132193507
Parent or Guardian of Nueva student,50,South Korea,,,,,,,,
Parent or Guardian of Nueva student,51,United States,94022,37.36,-122.15,7:55:00 AM,21.50218866,3,Los Altos,3.132193507
Parent or Guardian of Nueva student,64,United States,,,,,,,,
Parent or Guardian of Nueva student,45,China,94404,37.56,-122.27,7:30:00 AM,7.663486794,7,San Mateo,4.693913357
Nueva Teacher,34,United States,94027,37.45,-122.20,7:05:00 AM,14.2359425,2,Atherton,2.398224356
Parent or Guardian of Nueva student,49,United States,94010,37.57,-122.38,7:55:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,53,United States,94112,37.72,-122.44,7:00:00 AM,11.90352196,3,San Francisco,3.132193507
Parent or Guardian of Nueva student,42,India,94066,37.63,-122.43,7:55:00 AM,5.764640132,2,San Bruno,2.398224356
Parent or Guardian of Nueva student,48,United States,94025,37.45,-122.18,,15.53930813,4,Menlo Park,3.659087546
Parent or Guardian of Nueva student,50,Canada,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,47,United States,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,56,India,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,42,United States,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,,China,,,,7:00:00 AM,,,,
Nueva Teacher,52,United States,94403,37.54,-122.31,6:45:00 AM,5.384579628,11,San Mateo,5.53602895
Parent or Guardian of Nueva student,59,China,94027,37.45,-122.20,7:45:00 AM,14.2359425,2,Atherton,2.398224356
Nueva Teacher,40,United States,94610,37.81,-122.24,7:00:00 AM,19.90865169,1,Oakland,1.179617613
Parent or Guardian of Nueva student,46,Taiwan,94404,37.56,-122.27,8:05:00 AM,7.663486794,7,San Mateo,4.693913357
Grandparent,70,India,94704,37.87,-122.26,,22.68011842,1,Berkeley,1.179617613
Nueva Teacher,,United States,94044,37.61,-122.48,7:00:00 AM,7.578949949,1,Pacifica,1.179617613
Parent or Guardian of Nueva student,48,China,,,,,,,,
Parent or Guardian of Nueva student,47,China,94025,37.45,-122.18,7:30:00 AM,15.53930813,4,Menlo Park,3.659087546
Parent or Guardian of Nueva student,51,France,,,,7:55:00 AM,,,,
Parent or Guardian of Nueva student,54,Bulgaria,94002,37.51,-122.30,7:40:00 AM,6.438996152,3,Belmont,3.132193507
Parent or Guardian of Nueva student,45,China,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,44,China,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,,Singapore,94010,37.57,-122.38,7:40:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,44,United States,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,50,China,,,,,,,,
Nueva Teacher,59,United Kingdom,94110,37.75,-122.42,6:00:00 AM,13.31361437,4,San Francisco,3.659087546
Parent or Guardian of Nueva student,47,India,94303,37.45,-122.12,7:00:00 AM,19.52597712,2,Palo Alto,2.398224356
Nueva Employee (not a teacher),45,United States,94112,37.72,-122.44,8:00:00 AM,11.90352196,3,San Francisco,3.132193507
Parent or Guardian of Nueva student,46,China,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,40,United States,94131,37.75,-122.44,7:10:00 AM,13.50793319,2,San Francisco,2.398224356
Nueva Teacher,,United States,,,,7:25:00 AM,,,,
Parent or Guardian of Nueva student,50,India,94010,37.57,-122.38,7:55:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,,Japan,94010,37.57,-122.38,,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,60,United States,94010,37.57,-122.38,7:45:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,49,United States,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,49,China,,,,,,,,
Parent or Guardian of Nueva student,55,United States,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,52,China,94030,37.60,-122.40,7:45:00 AM,3.165209903,2,Millbrae,2.398224356
Parent or Guardian of Nueva student,48,United States,94010,37.57,-122.38,7:55:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,32,United States,94110,37.75,-122.42,7:20:00 AM,13.31361437,4,San Francisco,3.659087546
Parent or Guardian of Nueva student,46,United States,94403,37.54,-122.31,7:45:00 AM,5.384579628,11,San Mateo,5.53602895
Parent or Guardian of Nueva student,51,China,94030,37.60,-122.40,7:45:00 AM,3.165209903,2,Millbrae,2.398224356
Parent or Guardian of Nueva student,50,United States,94303,37.45,-122.12,7:15:00 AM,19.52597712,2,Palo Alto,2.398224356
Grandparent,77,India,,,,,,,,
Nueva Teacher,60,United Kingdom,,,,7:00:00 AM,,,,
Nueva Teacher,47,Hong Kong,94131,37.75,-122.44,7:30:00 AM,13.50793319,2,San Francisco,2.398224356
Parent or Guardian of Nueva student,51,China,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,54,United States,94306,37.42,-122.13,7:15:00 AM,19.83786754,2,Palo Alto,2.398224356
Nueva Teacher,41,United States,94602,37.81,-122.20,6:45:00 AM,20.82432448,1,Oakland,1.179617613
grandparent,85,India,,,,,,,,
Parent or Guardian of Nueva student,47,United States,94402,37.54,-122.33,7:50:00 AM,3.451464214,7,San Mateo,4.693913357
Parent or Guardian of Nueva student,44,United States,94062,37.43,-122.30,7:30:00 AM,10.89828394,6,Redwood City,4.407826039
Grandparent of Nueva student,77,United States,94010,37.57,-122.38,,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,55,Bulgaria,94010,37.57,-122.38,7:30:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,44,United States,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,30,United States,94117,37.77,-122.44,7:10:00 AM,15.14929537,1,San Francisco,1.179617613
Parent or Guardian of Nueva student,57,United States,94129,37.80,-122.47,7:05:00 AM,17.44786191,2,San Francisco,2.398224356
Parent or Guardian of Nueva student,50,China,94403,37.54,-122.31,7:30:00 AM,5.384579628,11,San Mateo,5.53602895
Principal,53,United States,94403,37.54,-122.31,7:00:00 AM,5.384579628,11,San Mateo,5.53602895
Nueva Teacher,43,United States,94546,37.73,-122.09,7:00:00 AM,23.29093422,1,Castro Valley,1.179617613
Parent or Guardian of Nueva student,45,Vietnam,94062,37.43,-122.30,7:30:00 AM,10.89828394,6,Redwood City,4.407826039
Parent or Guardian of Nueva student,46,United States,94070,37.50,-122.27,7:30:00 AM,8.733342866,4,San Carlos,3.659087546
Parent or Guardian of Nueva student,44,India,94040,37.38,-122.09,7:10:00 AM,23.83275538,2,Mountain View,2.398224356
Parent or Guardian of Nueva student,51,China,94087,37.35,-122.04,7:30:00 AM,27.69152248,2,Sunnyvale,2.398224356
Parent or Guardian of Nueva student,50,Israel,94301,37.44,-122.15,,17.7667132,3,Palo Alto,3.132193507
Parent or Guardian of Nueva student,,China,94010,37.57,-122.38,8:05:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,50,United States,94066,37.63,-122.43,7:35:00 AM,5.764640132,2,San Bruno,2.398224356
Parent or Guardian of Nueva student,40,United States,,,,6:00:00 AM,,,,
Tutor,63,United States,94404,37.56,-122.27,10:30:00 AM,7.663486794,7,San Mateo,4.693913357
Parent or Guardian of Nueva student,,United States,94301,37.44,-122.15,,17.7667132,3,Palo Alto,3.132193507
Parent or Guardian of Nueva student,48,United States,94402,37.54,-122.33,7:45:00 AM,3.451464214,7,San Mateo,4.693913357
Nueva Teacher,39,United States,94402,37.54,-122.33,7:30:00 AM,3.451464214,7,San Mateo,4.693913357
Parent or Guardian of Nueva student,47,United States,94010,37.57,-122.38,8:05:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,41,United Kingdom,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,,United States,94611,37.83,-122.22,6:45:00 AM,21.91019443,1,Oakland,1.179617613
Parent or Guardian of Nueva student,52,China,,,,7:40:00 AM,,,,
Parent or Guardian of Nueva student,44,United States,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,26,United States,94110,37.75,-122.42,7:00:00 AM,13.31361437,4,San Francisco,3.659087546
Nueva Teacher,23,United States,94403,37.54,-122.31,7:20:00 AM,5.384579628,11,San Mateo,5.53602895
Parent or Guardian of Nueva student,51,China,94404,37.56,-122.27,7:40:00 AM,7.663486794,7,San Mateo,4.693913357
Parent or Guardian of Nueva student,44,United States,94403,37.54,-122.31,7:45:00 AM,5.384579628,11,San Mateo,5.53602895
Parent or Guardian of Nueva student,42,United States,94403,37.54,-122.31,7:45:00 AM,5.384579628,11,San Mateo,5.53602895
Parent or Guardian of Nueva student,51,United States,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,53,Colombia,94062,37.43,-122.30,7:55:00 AM,10.89828394,6,Redwood City,4.407826039
Nueva Teacher,,Japan,94070,37.50,-122.27,7:00:00 AM,8.733342866,4,San Carlos,3.659087546
Parent or Guardian of Nueva student,60,United States,94402,37.54,-122.33,8:00:00 AM,3.451464214,7,San Mateo,4.693913357
Nueva Teacher,33,United States,94401,37.57,-122.32,7:00:00 AM,4.325481442,3,San Mateo,3.132193507
Parent or Guardian of Nueva student,53,China,,,,7:40:00 AM,,,,
Nueva Teacher,29,United States,94002,37.51,-122.30,7:30:00 AM,6.438996152,3,Belmont,3.132193507
Parent or Guardian of Nueva student,45,China,94024,37.35,-122.10,,24.189961,2,Los Altos,2.398224356
Parent or Guardian of Nueva student,43,China,94025,37.45,-122.18,7:30:00 AM,15.53930813,4,Menlo Park,3.659087546
Parent or Guardian of Nueva student,47,United States,94010,37.57,-122.38,7:45:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,62,Malaysia,94404,37.56,-122.27,7:25:00 AM,7.663486794,7,San Mateo,4.693913357
Parent or Guardian of Nueva student,43,Algeria,94403,37.54,-122.31,7:25:00 AM,5.384579628,11,San Mateo,5.53602895
Parent or Guardian of Nueva student,43,United States,94403,37.54,-122.31,7:40:00 AM,5.384579628,11,San Mateo,5.53602895
Parent or Guardian of Nueva student,50,United States,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,,,,,,7:00:00 AM,,,,
Parent or Guardian of Nueva student,50,United States,94401,37.57,-122.32,7:45:00 AM,4.325481442,3,San Mateo,3.132193507
Parent or Guardian of Nueva student,52,United States,94022,37.36,-122.15,7:55:00 AM,21.50218866,3,Los Altos,3.132193507
Nueva Teacher,54,United States,94306,37.42,-122.13,7:15:00 AM,19.83786754,2,Palo Alto,2.398224356
Parent or Guardian of Nueva student,,Thailand,94022,37.36,-122.15,7:30:00 AM,21.50218866,3,Los Altos,3.132193507
Parent or Guardian of Nueva student,57,United States,94070,37.50,-122.27,7:35:00 AM,8.733342866,4,San Carlos,3.659087546
Parent or Guardian of Nueva student,53,United States,,,,7:25:00 AM,,,,
Nueva Teacher,51,United States,94063,37.49,-122.21,6:55:00 AM,12.71991539,1,Redwood City,1.179617613
Nueva Employee (not a teacher),56,United States,94102,37.78,-122.42,10:00:00 AM,15.38678242,1,San Francisco,1.179617613
Parent or Guardian of Nueva student,44,United States,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,48,United States,94010,37.57,-122.38,8:00:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,50,China,94010,37.57,-122.38,8:10:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,51,South Korea,94010,37.57,-122.38,8:10:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,48,China,94070,37.50,-122.27,7:15:00 AM,8.733342866,4,San Carlos,3.659087546
Parent or Guardian of Nueva student,45,China,94024,37.35,-122.10,7:40:00 AM,24.189961,2,Los Altos,2.398224356
Parent or Guardian of Nueva student,51,United States,94010,37.57,-122.38,8:55:00 AM,0.9116453804,44,Burlingame,8.135805104
Nueva Teacher,26,United States,94608,37.84,-122.29,6:45:00 AM,20.12538888,1,Emeryville,1.179617613
Parent or Guardian of Nueva student,42,United States,94010,37.57,-122.38,7:50:00 AM,0.9116453804,44,Burlingame,8.135805104
Parent or Guardian of Nueva student,51,United States,,,,,,,,
Nueva Teacher,24,United States,,,,8:30:00 AM,,,,
Parent or Guardian of Nueva student,52,Ukraine,94062,37.43,-122.30,7:30:00 AM,10.89828394,6,Redwood City,4.407826039
Parent or Guardian of Nueva student,,,,,,7:00:00 AM,,,,